timestamp,open,high,low,close,volume_btc,volume_usd
1.76723E+15,87648.21,87648.22,87632.74,87648,4.08049,357625.7769
1.76723E+15,87648,87686.79,87647.99,87686.79,8.53093,747798.7756
1.76723E+15,87686.78,87686.79,87679.28,87682.91,4.08878,358517.3695
1.76723E+15,87682.91,87701.91,87682.91,87701.9,1.26772,111167.931
1.76723E+15,87701.91,87701.91,87701.9,87701.91,0.47668,41805.74465
1.76723E+15,87701.91,87816,87701.9,87761.47,33.42454,2933932.549
1.76723E+15,87761.47,87761.48,87702,87702,4.31344,378443.6865
1.76723E+15,87702.01,87742,87702,87740,9.67071,848228.192
1.76723E+15,87740,87765.75,87739.99,87765.75,1.34203,117768.9979
1.76723E+15,87765.75,87766,87750.78,87764.06,9.03645,793037.7612
1.76723E+15,87764.06,87764.07,87754.06,87754.07,1.27181,111616.2082
1.76723E+15,87754.07,87759.15,87754.06,87759.15,1.68807,148136.1171
1.76723E+15,87759.14,87759.15,87746.34,87746.34,4.52375,396982.8578
1.76723E+15,87746.35,87746.35,87742.61,87742.62,1.08646,95328.92946
1.76723E+15,87742.62,87742.62,87742.61,87742.61,1.29569,113687.2307
1.76723E+15,87742.62,87757.81,87742.61,87757.81,1.80094,158033.4855
1.76723E+15,87757.81,87757.81,87757.79,87757.79,2.17217,190624.8638
1.76723E+15,87757.79,87757.8,87750.57,87750.58,1.67371,146872.7189
1.76723E+15,87750.58,87750.58,87750.57,87750.58,1.2857,112820.911
1.76723E+15,87750.58,87760.19,87750.57,87760.19,2.53749,222672.1122
1.76723E+15,87760.19,87768.34,87760.18,87768.33,0.6363,55844.96569
1.76723E+15,87768.34,87768.34,87768.33,87768.33,0.35138,30840.03808
1.76723E+15,87768.34,87768.34,87768.33,87768.34,0.70142,61562.46544
1.76723E+15,87768.34,87774,87768.34,87773.98,2.13645,187519.3893
1.76723E+15,87773.98,87773.98,87773.97,87773.97,0.80023,70239.36577
1.76723E+15,87773.98,87774.33,87773.97,87774.32,2.73667,240208.4428
1.76723E+15,87774.33,87774.33,87768.5,87768.5,4.18805,367599.9891
1.76723E+15,87768.51,87768.51,87768.5,87768.5,1.0398,91261.69493
1.76723E+15,87768.51,87776.19,87768.5,87776.18,1.73117,151945.2108
1.76723E+15,87776.19,87776.19,87776.18,87776.18,0.32223,28284.12037
1.76723E+15,87776.19,87776.19,87764.39,87764.39,4.46393,391808.6304
1.76723E+15,87764.4,87764.4,87750.85,87750.86,8.68163,761871.42
1.76723E+15,87750.85,87775.15,87750.85,87775.14,10.31575,905288.8092
1.76723E+15,87775.15,87775.15,87762.01,87762.01,3.53406,310170.324
1.76723E+15,87762.02,87762.02,87748.78,87748.79,3.28493,288270.6793
1.76723E+15,87748.78,87761.07,87748.78,87753.29,7.01323,615420.8223
1.76723E+15,87753.28,87753.29,87733.98,87733.98,2.63361,231072.8703
1.76723E+15,87733.99,87733.99,87733.98,87733.99,0.3847,33751.26433
1.76723E+15,87733.99,87748.1,87733.98,87748.1,3.11188,273034.4457
1.76723E+15,87748.1,87748.1,87748.09,87748.1,0.42346,37157.80773
1.76723E+15,87748.09,87748.1,87746.5,87747.01,1.96447,172378.0078
1.76723E+15,87747.01,87750.29,87747,87750.29,2.43731,213866.8397
1.76723E+15,87750.28,87758.62,87750.28,87758.62,0.73844,64800.64522
1.76723E+15,87758.61,87758.62,87748.59,87748.89,2.20183,193228.5022
1.76723E+15,87748.89,87748.89,87748.88,87748.89,0.66144,58040.62128
1.76723E+15,87748.89,87748.89,87748.88,87748.88,1.99047,174661.5212
1.76723E+15,87748.88,87748.89,87748.88,87748.88,0.2575,22595.33826
1.76723E+15,87748.89,87748.89,87748.88,87748.89,0.19015,16685.45072
1.76723E+15,87748.89,87763.07,87748.88,87763.06,4.25388,373278.8312
1.76723E+15,87763.07,87813.18,87763.07,87813.17,3.45403,303212.4066
1.76723E+15,87813.18,87813.18,87800,87800,3.70729,325529.3813
1.76723E+15,87800,87810.49,87800,87810.49,1.83209,160860.9435
1.76723E+15,87810.49,87833.69,87810.49,87833.68,13.53128,1188427.711
1.76723E+15,87833.68,87833.69,87820.42,87820.43,2.56861,225593.4826
1.76723E+15,87820.43,87820.43,87803.74,87803.75,10.25144,900137.6702
1.76723E+15,87803.75,87824.22,87803.74,87824.22,10.09464,886429.3676
1.76723E+15,87824.22,87846.29,87824.21,87846.28,6.5304,573620.89
1.76723E+15,87846.28,87849.26,87843.9,87843.9,5.81256,510621.1762
1.76723E+15,87843.91,87843.91,87829.96,87829.96,4.64307,407825.9768
1.76723E+15,87829.96,87829.97,87809.23,87809.23,2.48102,217897.0229
1.76723E+15,87809.24,87815.04,87809.23,87815.04,5.27138,462878.6086
1.76723E+15,87815.03,87847.44,87815.03,87847.44,6.47958,569111.8534
1.76723E+15,87847.44,87847.44,87847.43,87847.44,1.68874,148351.4796
1.76723E+15,87847.43,87853.39,87847.43,87853.39,2.62279,230410.5768
1.76723E+15,87853.39,87853.39,87853.38,87853.39,1.9083,167650.6208
1.76723E+15,87853.39,87866.01,87853.38,87866,6.06912,533235.4999
1.76723E+15,87866.01,87866.01,87864.78,87864.79,1.74786,153576.5146
1.76723E+15,87864.79,87941.17,87864.78,87941.17,25.61615,2251978.4
1.76723E+15,87941.17,87942.6,87941.16,87942.6,3.55897,312982.4263
1.76723E+15,87942.59,87957.14,87942.59,87957.14,3.77659,332133.9005
1.76723E+15,87957.13,87957.13,87942.5,87945.15,17.72127,1558545.835
1.76723E+15,87945.16,88013,87945.15,88006.8,16.34147,1437798.404
1.76723E+15,88006.8,88006.8,87989.12,87998.69,5.52701,486338.3331
1.76723E+15,87998.7,88013,87998.69,88013,3.97734,350041.9329
1.76723E+15,88013,88013,88000,88000,2.42136,213102.9691
1.76723E+15,88000.01,88050,88000,88049.99,13.09274,1152599.86
1.76723E+15,88049.99,88050,87983.56,87983.57,8.88379,781896.2602
1.76723E+15,87983.56,87983.57,87962.01,87962.01,2.01968,177678.26
1.76723E+15,87962.02,87983.56,87952,87983.44,4.77723,420220.149
1.76723E+15,87983.43,87983.44,87952.84,87952.85,3.58316,315233.9222
1.76723E+15,87952.84,87952.85,87911.37,87947.37,5.96892,524836.4442
1.76723E+15,87947.37,87947.37,87947.36,87947.37,0.33833,29755.23153
1.76723E+15,87947.36,87960.64,87947.36,87954.48,3.77602,332119.4404
1.76723E+15,87954.47,87954.48,87920.01,87920.02,2.87917,253182.9466
1.76723E+15,87920.02,87941.59,87920.01,87941.58,2.36647,208090.4974
1.76723E+15,87941.59,87941.59,87923.35,87923.36,1.69617,149160.6034
1.76723E+15,87923.36,87923.36,87920,87920.01,0.75012,65951.28564
1.76723E+15,87920.01,87920.01,87900,87900.01,3.78333,332594.7915
1.76723E+15,87900,87900.01,87897.8,87897.8,2.57921,226712.2938
